image_id,terrain_undefined,Red,Green
jpgs/S26047238.jpg,1,66,81
jpgs/P26057146.jpg,0,75,72
jpgs/P26054308.jpg,0,76,70
jpgs/P26050957.jpg,1,74,80
jpgs/P26057962.jpg,0,65,61
jpgs/P26058806.jpg,1,69,74
jpgs/P26049747.jpg,1,78,80
jpgs/P26051734.jpg,1,75,79
jpgs/P26056063.jpg,0,71,69
jpgs/C26049744.jpg,1,84,88
jpgs/C26051403.jpg,1,78,87
jpgs/C26047479.jpg,1,59,73
jpgs/P26059398.jpg,0,63,61
jpgs/P26050211.jpg,1,75,76
jpgs/C26047722.jpg,1,54,69
jpgs/C26048718.jpg,1,83,85
jpgs/P26058263.jpg,0,73,67
jpgs/C26048836.jpg,1,87,88
jpgs/S26047347.jpg,1,68,83
jpgs/P26058514.jpg,0,77,74
jpgs/P26057095.jpg,0,72,71
jpgs/P26058438.jpg,0,72,69
jpgs/C26047362.jpg,1,75,87
jpgs/C26049762.jpg,1,82,88
jpgs/P26056111.jpg,0,81,77
jpgs/P26049587.jpg,1,74,78
jpgs/P26055586.jpg,0,76,77
jpgs/P26054235.jpg,1,74,72
jpgs/P26049614.jpg,1,71,81
jpgs/P26058339.jpg,0,67,66
jpgs/P26055858.jpg,0,83,77
jpgs/C26052099.jpg,1,83,90
jpgs/P26058001.jpg,0,52,59
jpgs/P26049008.jpg,1,72,83
jpgs/P26058987.jpg,0,67,64
jpgs/P26060242.jpg,0,67,72
jpgs/P26051680.jpg,1,71,75
jpgs/P26048990.jpg,1,68,74
jpgs/C26050359.jpg,1,69,77
jpgs/P26049590.jpg,1,76,80
jpgs/P26049114.jpg,1,73,81
jpgs/P26047755.jpg,1,72,78
jpgs/P26049765.jpg,1,70,73
jpgs/C26048095.jpg,1,80,85
jpgs/P26056253.jpg,0,79,76
jpgs/C26050476.jpg,1,77,84
jpgs/P26050464.jpg,1,73,76
jpgs/P26056986.jpg,1,67,63
jpgs/P26058167.jpg,0,69,67
jpgs/S26047320.jpg,1,65,79
jpgs/C26048378.jpg,1,75,81
jpgs/P26058628.jpg,0,65,62
jpgs/P26048403.jpg,0,76,78
jpgs/P26058673.jpg,0,60,57
jpgs/C26049669.jpg,1,65,74
jpgs/P26048969.jpg,1,74,77
jpgs/C26047716.jpg,1,56,70
jpgs/P26056673.jpg,0,78,71
jpgs/C26048354.jpg,0,84,91
jpgs/P26047497.jpg,1,70,81
jpgs/C26049720.jpg,1,86,92
jpgs/P26052014.jpg,1,77,81
jpgs/C26047770.jpg,1,72,82
jpgs/S26047305.jpg,1,65,83
jpgs/P26056114.jpg,0,82,78
jpgs/P26059120.jpg,0,72,70
jpgs/C26050970.jpg,1,80,88
jpgs/C26047208.jpg,1,72,87
jpgs/C26049182.jpg,1,75,86
jpgs/C26048053.jpg,1,85,90
jpgs/C26049170.jpg,1,76,83
jpgs/P26049716.jpg,1,81,81
jpgs/C26048300.jpg,1,93,95
jpgs/P26052029.jpg,1,75,79
jpgs/P26059913.jpg,0,69,67
jpgs/P26052092.jpg,1,73,78
jpgs/P26055785.jpg,0,80,76
jpgs/P26059208.jpg,0,68,63
jpgs/P26056256.jpg,0,79,76
jpgs/P26057959.jpg,0,64,61
jpgs/P26055471.jpg,0,78,78
jpgs/P26056262.jpg,0,78,74
jpgs/P26056199.jpg,0,80,75
jpgs/P26059458.jpg,0,72,71
jpgs/P26059338.jpg,0,59,57
jpgs/P26054124.jpg,0,81,76
jpgs/P26055154.jpg,0,68,69
jpgs/P26057300.jpg,0,67,62
jpgs/C26047800.jpg,0,88,90
jpgs/P26055508.jpg,0,79,78
jpgs/P26055493.jpg,0,79,79
jpgs/P26055885.jpg,0,72,68
jpgs/P26057228.jpg,0,64,59
jpgs/P26060200.jpg,0,52,56
jpgs/P26057590.jpg,0,71,69
jpgs/P26057524.jpg,0,65,69
jpgs/P26057527.jpg,0,60,65
jpgs/P26058453.jpg,0,71,69
jpgs/P26059856.jpg,0,65,67
jpgs/P26058478.jpg,0,70,66
jpgs/P26056609.jpg,0,76,71
jpgs/C26047890.jpg,0,87,93
jpgs/P26059877.jpg,0,61,65
jpgs/P26057086.jpg,0,71,67
jpgs/P26060221.jpg,0,53,57
jpgs/P26047809.jpg,0,76,79
jpgs/P26055544.jpg,0,78,78
jpgs/P26047833.jpg,0,77,81
jpgs/P26060149.jpg,0,59,60
jpgs/P26058106.jpg,0,63,62
jpgs/P26058722.jpg,0,59,55
jpgs/P26059431.jpg,0,72,70
jpgs/P26056802.jpg,0,71,64
jpgs/P26059702.jpg,0,55,59
jpgs/P26058411.jpg,0,68,64
jpgs/P26048319.jpg,1,76,74
jpgs/C26048128.jpg,1,85,88
jpgs/P26050431.jpg,1,73,80
jpgs/P26057336.jpg,1,69,65
jpgs/P26049584.jpg,1,73,77
jpgs/C26047226.jpg,1,78,90
jpgs/C26049615.jpg,1,54,67
jpgs/P26048056.jpg,1,68,68
jpgs/C26048971.jpg,1,78,86
jpgs/C26052533.jpg,1,78,82
jpgs/P26049035.jpg,1,74,79
jpgs/P26051009.jpg,1,76,80
jpgs/P26048120.jpg,1,72,73
jpgs/P26052083.jpg,1,71,74
jpgs/P26051445.jpg,1,73,77
