file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180915a_jpgs/jpgs/C25870216.jpg,8974386,8764.048828,8.558641434,96
Florence/20180915a_jpgs/jpgs/C25870235.jpg,8151144,7960.101563,7.773536682,96
Florence/20180915a_jpgs/jpgs/C25870324.jpg,8165571,7974.19043,7.787295341,96
Florence/20180915a_jpgs/jpgs/C25870782.jpg,7886169,7701.336914,7.52083683,96
Florence/20180915a_jpgs/jpgs/C25871060.jpg,7017676,6853.199219,6.692577362,96
Florence/20180915a_jpgs/jpgs/C25871069.jpg,6086620,5943.964844,5.804653168,96
Florence/20180915a_jpgs/jpgs/C25871159.jpg,11921486,11642.07617,11.36921501,300
Florence/20180915a_jpgs/jpgs/C25871166.jpg,6389661,6239.90332,6.093655586,96
Florence/20180915a_jpgs/jpgs/C25871524.jpg,7276103,7105.569336,6.939032555,96
Florence/20180915a_jpgs/jpgs/C25871583.jpg,11616227,11343.97168,11.07809734,300
Florence/20180915a_jpgs/jpgs/C25871965.jpg,7816910,7633.701172,7.454786301,300
Florence/20180915a_jpgs/jpgs/C25872474.jpg,6884889,6723.524414,6.565941811,96
Florence/20180915a_jpgs/jpgs/C25872950.jpg,8473457,8274.860352,8.080918312,96
Florence/20180915a_jpgs/jpgs/C25873885.jpg,5789762,5654.064453,5.521547318,96
Florence/20180915a_jpgs/jpgs/P25870284.jpg,8579522,8378.439453,8.182069778,96
Florence/20180915a_jpgs/jpgs/P25870810.jpg,7643924,7464.769531,7.289813995,96
Florence/20180915a_jpgs/jpgs/P25871949.jpg,13736437,13414.48926,13.10008717,300
Florence/20180915a_jpgs/jpgs/P25872172.jpg,7645545,7466.352539,7.291359901,96
Florence/20180915a_jpgs/jpgs/P25873609.jpg,11051005,10791.99707,10.53905964,300
Florence/20180915a_jpgs/jpgs/P25873904.jpg,6527383,6374.397461,6.22499752,300
Florence/20180915a_jpgs/jpgs/P25873949.jpg,9329910,9111.240234,8.897695541,96
Florence/20180915a_jpgs/jpgs/S25867882.jpg,6531448,6378.367188,6.228874207,300
Florence/20180915a_jpgs/jpgs/S25868211.jpg,6060173,5918.137695,5.779431343,300
Florence/20180915a_jpgs/jpgs/S25868295.jpg,6845562,6685.119141,6.528436661,96
Florence/20180915a_jpgs/jpgs/S25868672.jpg,8277308,8083.308594,7.893856049,96
Florence/20180915a_jpgs/jpgs/S25868772.jpg,7377699,7204.78418,7.03592205,96
Florence/20180915a_jpgs/jpgs/S25868971.jpg,6381336,6231.773438,6.085716248,96
Florence/20180915a_jpgs/jpgs/S25869140.jpg,11496139,11226.69824,10.9635725,300
Florence/20180915a_jpgs/jpgs/S25870293.jpg,13569184,13251.15625,12.94058228,300
Florence/20180915a_jpgs/jpgs/S25870676.jpg,7691957,7511.676758,7.335621834,300
Florence/20180915a_jpgs/jpgs/S25870693.jpg,6171188,6026.550781,5.885303497,96
Florence/20180915a_jpgs/jpgs/S25870722.jpg,8203142,8010.880859,7.823125839,300
